Name,Interests,Department
Carlo Sequin,computer graphics~computer-aided design~solid modeling,Division of Computer Science/EECS
Carlos Bustamante,nanoscience~structural characterization of nucleo-protein assemblies~single molecule fluorescence microscopy~DNA-binding molecular motors~the scanning force microscope~prokaryotes,Department of Chemistry~Department of Molecular &amp; Cell Biology~Department of Physics
Carlos F. Daganzo,logistics~networks~urban transportation~traffic flow,Department of Civil and Environmental Engineering
Carlos Fernandez-Pello,biofuels~heat transfer~fire~combustion~ignition and fire spread~wildland fire spotting~smoldering and flaming~small scale energy generation,Department of Mechanical Engineering
"Carlos MuÃ±oz, Jr",immigration~Mexican American politics~ethnic and racial politics~multiculturalism~affirmative action,Department of Ethnic Studies
Carlos Norena,Roman history,Department of History
Carol B. Stack,language~culture~migration~society~education~literacy~urban youth~rural and urban families~service sector employment~facets of the social context of education~womenâ€™s studies,Graduate School of Education
Carol Clover,Medieval studies (Northern Europe)~film (especially American).,Department of Rhetoric~Department of Scandinavian
Carol Redmount,Egyptology,Department of Near Eastern Studies
Carole S. Hickman,systematics~evolutionary paleobiology~morphology~molluscs~macroevolutionary trends and patterns~Cenozoic Era~fossil record~evolutionary history and structure,Department of Integrative Biology
Carolina Reid,Affordable housing~access to credit~foreclosures~community development~the Community Reinvestment Act~poverty~neighborhood change~homeownership and mortgage finance (with a focus on low-income and minority households),Department of City &amp; Regional Planning
Caroline Kane,viruses~eukaryotic gene regulation~transcript elongation~gene expression~protooncogenes,Department of Molecular &amp; Cell Biology
Caroline Williams,evolution~physiology~ecophysiology~metabolism~insect~winter~adaptation~thermal biology,Department of Integrative Biology
Carolyn Merchant,ethics~philosophy~environmental history,"Department of Environmental Science, Policy &amp; Management"
Carolyn Pape Cowan,child development~psychology~couple relationships~parenting styles~family transitions~preventive intervention,Department of Psychology
Carolyn Patty Blum,human rights~law~refugee and asylum law,Boalt Hall School of Law
Carolyn Porter,English~American literature~American intellectual history~American Renaissance~Faulkner~James~Fitzgerald~Henry Adams~American Literature of the 1930s,Department of English
Carolyn R. Bertozzi,molecular basis of cell surface interactions~eukaryotic genomes~glycosylation,Department of Chemistry
Catherine Albiston,inequality~social change~law~employment~legal profession~public interest law~gender discrimination,Boalt Hall School of Law
Catherine Ceniza Choy,Asian American history~Filipino American studies~immigration history~adoption studies~nursing history,Department of Ethnic Studies
Catherine Cole,ethnography~higher education~performance studies~disability studies~African studies~transitional justice~Ghana and South Africa,"Theatre, Dance, and Performance Studies"
Catherine Flynn,modernism~Irish~British~comparative literature~critical theory~Avant-Gardes~James Joyce~Flann O&#039;Brien,College of Letters and Science
Catherine Gallagher,English~19th century British literature~British novels~victorian non-fiction prose~British women&#039;s literature~history and literature of the victorians~history of the novel~Victorian popular culture,Department of English
Catherine Koshland,air pollution~metals~energy~resources~environmental human health~mechanistic analyses of combustion products in flow reactors~control strategies in urban airsheds~pollutant formation~chlorinated hydrocarbons~particulates~industrial ecology,Energy &amp; Resources Group~Goldman School of Public Policy
Catherine Wolfram,climate change~energy efficiency~regulation of business~energy and environmental markets,Haas School of Business
Cathryn Carson,history of physics~science and society~history of universities~German history~intellectual history~ethnography~data science~nuclear waste,Department of History
Celeste Langan,English~romantic poetry~19th century literature~Wordsworth~Carlyle~Hardy~Rousseau~the French Revolution~Marxist theory~literature and the social sciences,Department of English
Chana Kronfeld,comparative literature~modernism~Hebrew~Yiddish~modern poetry~minor literatures~politics of literary history~feminist stylistics~intertextuality~translation studies,Department of Comparative Literature~Department of Near Eastern Studies
Charis Thompson,science &amp; technology studies~environmental ethics~feminist theory~reproductive technology~genetics~stem cell &amp; cloning technology~personalized medicine~biodiversity conservation~transnational studies of reproduction &amp; population~ethnography,Department of Gender and Women&#039;s Studies
Charisma Acey,water~sanitation~basic services delivery~poverty alleviation~environmental sustainability~environmental justice~urban governance~participatory planning~community-based development~international development~development planning~sustainable development~African studies,Department of City &amp; Regional Planning
Charlan Jeanne Nemeth,decision making~jury decision making~influence and persuasion~creativity in small groups~managing innovation in organizations~psychology of creative scientists and entrepreneurs~corporate cultures~diversity of team members~brainstorming~psychology and law,Department of Psychology
Charles Altieri,literature and the visual arts~Wittgenstein~Modern American poetry~Contemporary American poetry~history of aesthetic philosophy,Department of English
Charles B. Faulhaber,medieval Spanish literature; medieval rhetoric; codicology~paleography; computerization of scholarly methodology,Department of Spanish and Portuguese
Charles B. Harris,physical chemistry~surface science~theoretical chemistry~chemical dynamics~femtosecond lasers in the visible and infrared~energy transfer~relaxation~primary processes in chemical reactions in liquids~the dynamical properties of electrons,Department of Chemistry
Charles C. Benton,architecture~thermal comfort~sunlight and shadow patterns~measurement of physical building performance,Department of Architecture
Charles C. Pugh,mathematics~global theory of differential equations,Department of Mathematics
Charles D. Weisselberg,law reform~criminal procedure~police interrogation~immigration detention,Boalt Hall School of Law
Charles E. Murgia,classics~Latin Literature~textual criticism,Department of Classics
Charles Henry,human rights~Black politics~race and public policy,Department of African American Studies
Charles Hirschkind,Islam~anthropology~religious practice~media technologies~political community~Middle East~Europe,Department of Anthropology
Charles Kittel,physics,Department of Physics
